zipcode,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
98107,2,1.5,1.0,1.0,45.0,90.0
98107,8,1.0,2.0,6.0,133.0,95.0
98107,2,1.0,1.0,1.0,65.0,96.0
98107,1,2.0,1.0,1.0,61.0,80.0
98107,2,1.0,1.0,1.0,70.0,90.0
98107,1,1.0,1.0,1.0,52.0,97.0
98107,2,1.0,1.0,1.0,50.0,100.0
98107,2,1.0,1.0,1.0,149.0,99.0
98107,2,1.0,1.0,1.0,89.0,97.0
98107,3,1.0,1.0,2.0,120.0,97.0
98107,2,1.0,0.0,1.0,85.0,98.0
98107,4,1.5,1.0,2.0,80.0,100.0
98107,3,1.0,1.0,3.0,89.0,95.0
98107,4,1.0,1.0,1.0,99.0,92.0
98107,4,1.0,1.0,3.0,110.0,97.0
98107,6,1.0,2.0,3.0,180.0,96.0
98107,4,1.0,1.0,2.0,70.0,100.0
98107,1,1.0,1.0,1.0,75.0,89.0
98107,4,1.0,2.0,2.0,85.0,97.0
98107,2,1.0,1.0,1.0,80.0,95.0
98107,3,1.0,1.0,1.0,90.0,100.0
98107,2,1.0,1.0,1.0,80.0,98.0
98107,2,1.0,0.0,1.0,75.0,95.0
98107,2,1.0,1.0,1.0,70.0,85.0
98107,8,3.5,4.0,4.0,350.0,100.0
98107,4,1.0,0.0,1.0,95.0,99.0
98107,2,1.0,1.0,1.0,90.0,99.0
98107,12,2.0,4.0,5.0,435.0,84.0
98107,6,1.5,3.0,3.0,250.0,100.0
98107,2,1.0,1.0,1.0,65.0,95.0
98107,3,1.0,1.0,1.0,95.0,97.0
98107,3,1.0,1.0,2.0,110.0,97.0
98107,3,1.0,1.0,2.0,50.0,100.0
98107,2,1.0,1.0,1.0,100.0,97.0
98107,5,1.0,1.0,3.0,116.0,98.0
98107,4,1.0,1.0,2.0,150.0,100.0
98107,8,2.0,3.0,3.0,275.0,95.0
98107,6,2.0,3.0,3.0,180.0,96.0
98107,2,1.0,1.0,1.0,97.0,96.0
98109,2,1.0,1.0,1.0,120.0,100.0
98109,2,1.0,1.0,1.0,109.0,96.0
98109,2,1.0,1.0,1.0,115.0,92.0
98109,2,1.0,1.0,1.0,199.0,97.0
98109,2,1.0,1.0,1.0,150.0,100.0
98109,6,2.5,3.0,4.0,250.0,98.0
98109,2,1.0,1.0,1.0,39.0,100.0
98109,4,1.0,1.0,1.0,69.0,90.0
98109,4,1.0,1.0,2.0,145.0,91.0
98109,5,1.0,1.0,4.0,98.0,97.0
98109,4,1.0,1.0,1.0,130.0,100.0
98109,4,1.0,1.0,2.0,85.0,96.0
98109,1,1.0,1.0,1.0,85.0,90.0
98109,4,1.0,1.0,2.0,150.0,88.0
98109,6,2.0,3.0,3.0,190.0,93.0
98109,2,1.0,1.0,1.0,68.0,94.0
98109,2,1.5,1.0,1.0,149.0,96.0
98109,10,2.0,2.0,5.0,349.0,92.0
98109,2,1.0,1.0,1.0,105.0,100.0
98109,4,1.5,1.0,2.0,145.0,100.0
98109,2,1.0,1.0,1.0,150.0,98.0
98109,4,2.0,2.0,1.0,275.0,100.0
98109,4,1.0,2.0,3.0,165.0,97.0
98109,5,2.0,3.0,3.0,196.0,100.0
98109,4,1.0,1.0,2.0,195.0,82.0
98109,4,2.0,2.0,2.0,200.0,89.0
98109,2,1.5,1.0,1.0,90.0,97.0
98109,2,1.0,1.0,1.0,125.0,92.0
98109,8,1.5,3.0,5.0,250.0,90.0
98109,2,1.5,1.0,1.0,130.0,98.0
98109,2,1.0,1.0,1.0,209.0,100.0
98109,4,1.0,1.0,2.0,110.0,97.0
98109,4,1.0,1.0,2.0,90.0,96.0
98109,2,1.0,1.0,1.0,90.0,97.0
98109,2,1.0,1.0,1.0,130.0,100.0
98109,2,1.0,1.0,1.0,175.0,100.0
98109,8,3.5,3.0,3.0,749.0,100.0
98109,4,2.0,2.0,2.0,115.0,100.0
98109,4,1.5,2.0,2.0,165.0,98.0
98119,2,1.0,0.0,1.0,80.0,100.0
98109,6,2.0,3.0,4.0,285.0,96.0
98109,2,1.0,1.0,1.0,80.0,100.0
98109,2,1.0,1.0,1.0,68.0,95.0
98109,4,1.0,1.0,2.0,125.0,97.0
98109,2,1.0,1.0,1.0,110.0,93.0
98109,7,4.0,3.0,3.0,600.0,100.0
98109,4,2.0,2.0,2.0,235.0,100.0
98109,4,1.0,1.0,2.0,75.0,100.0
98109,2,1.0,1.0,1.0,95.0,80.0
98109,4,1.0,1.0,2.0,103.0,95.0
98109,2,1.0,1.0,1.0,120.0,98.0
98109,2,1.0,1.0,1.0,99.0,97.0
98109,2,1.0,1.0,1.0,142.0,99.0
98109,2,1.0,1.0,2.0,150.0,93.0
98109,6,2.0,3.0,3.0,295.0,95.0
98109,6,3.5,4.0,4.0,335.0,100.0
98109,6,1.5,3.0,3.0,250.0,100.0
98109,8,3.0,4.0,5.0,499.0,99.0
98109,8,2.0,3.0,4.0,350.0,96.0
98109,3,1.0,1.0,2.0,156.0,98.0
98109,4,1.0,2.0,3.0,200.0,91.0
98119,4,2.0,2.0,2.0,180.0,100.0
98109,3,1.0,1.0,1.0,103.0,100.0
98109,2,1.0,1.0,1.0,99.0,94.0
98109,3,1.0,1.0,1.0,94.0,87.0
98109,4,1.0,1.0,1.0,160.0,92.0
98109,4,1.0,1.0,2.0,129.0,96.0
98109,4,1.0,1.0,2.0,219.0,96.0
98109,4,1.0,1.0,1.0,91.0,92.0
98109,4,1.0,1.0,2.0,75.0,95.0
98109,2,1.0,0.0,1.0,99.0,99.0
98103,5,1.5,3.0,3.0,300.0,100.0
98103,6,1.0,2.0,3.0,149.0,96.0
98103,3,1.0,1.0,2.0,95.0,95.0
98103,2,1.0,1.0,1.0,100.0,97.0
98103,6,2.0,3.0,2.0,250.0,100.0
98103,2,2.0,1.0,1.0,105.0,100.0
98105,2,1.0,1.0,1.0,74.0,87.0
98103,2,1.0,1.0,1.0,140.0,99.0
98105,4,1.0,1.0,1.0,130.0,97.0
98105,2,1.0,1.0,1.0,110.0,96.0
98103,8,2.0,4.0,4.0,199.0,84.0
98103,6,1.5,2.0,3.0,209.0,96.0
98103,4,1.0,0.0,2.0,100.0,97.0
98103,4,1.0,1.0,1.0,110.0,96.0
98103,2,1.0,1.0,2.0,104.0,96.0
98103,4,2.0,2.0,2.0,200.0,100.0
98103,4,1.0,0.0,2.0,99.0,100.0
98103,2,1.0,1.0,1.0,90.0,97.0
98105,6,1.0,2.0,3.0,135.0,97.0
98103,6,1.0,2.0,3.0,122.0,96.0
98103,2,1.0,0.0,1.0,80.0,93.0
98103,4,1.0,2.0,2.0,158.0,80.0
98103,4,1.0,1.0,1.0,90.0,92.0
98103,3,1.0,1.0,2.0,100.0,100.0
98103,4,1.0,1.0,2.0,89.0,95.0
98103,4,1.0,2.0,2.0,125.0,93.0
98103,2,1.0,1.0,1.0,42.0,100.0
98103,2,1.0,1.0,1.0,65.0,97.0
98103,4,1.0,1.0,2.0,100.0,94.0
98103,2,1.0,1.0,2.0,40.0,95.0
98105,2,1.5,1.0,1.0,70.0,100.0
98103,4,1.0,1.0,1.0,110.0,94.0
98103,4,1.0,2.0,3.0,99.0,96.0
98103,6,3.0,3.0,3.0,680.0,100.0
98105,6,1.5,3.0,4.0,195.0,100.0
98103,2,2.0,1.0,1.0,55.0,97.0
98103,4,1.0,1.0,1.0,119.0,92.0
98115,5,2.0,3.0,3.0,175.0,99.0
98103,2,1.0,1.0,1.0,65.0,100.0
98103,2,1.0,1.0,1.0,75.0,93.0
98103,4,1.0,2.0,2.0,126.0,95.0
98103,2,1.0,1.0,1.0,70.0,99.0
98103,2,1.0,1.0,1.0,90.0,100.0
98103,2,1.0,1.0,1.0,129.0,87.0
98105,12,2.0,5.0,6.0,225.0,92.0
98103,1,1.0,1.0,1.0,40.0,93.0
98103,1,1.0,1.0,1.0,50.0,100.0
98103,1,1.0,1.0,1.0,40.0,94.0
98103,1,1.0,1.0,1.0,40.0,80.0
98103,4,1.0,2.0,2.0,95.0,97.0
98103,6,1.0,2.0,4.0,175.0,97.0
98105,6,1.0,2.0,4.0,160.0,93.0
98103,1,1.0,1.0,1.0,40.0,90.0
98103,2,1.0,1.0,1.0,120.0,96.0
98103,4,1.0,1.0,2.0,66.0,96.0
98103,2,1.0,1.0,1.0,55.0,96.0
98105,2,1.0,0.0,1.0,85.0,98.0
98103,6,1.0,2.0,3.0,175.0,90.0
98103,2,1.0,1.0,1.0,105.0,80.0
98103,3,1.0,1.0,3.0,55.0,95.0
98103,5,1.0,2.0,2.0,150.0,97.0
98103,1,1.0,1.0,1.0,40.0,93.0
98103,2,2.0,1.0,2.0,59.0,93.0
98105,2,1.0,1.0,1.0,80.0,73.0
98103,5,1.0,2.0,3.0,200.0,80.0
98103,3,1.0,0.0,1.0,60.0,91.0
98103,2,1.0,1.0,1.0,59.0,93.0
98105,8,3.0,4.0,5.0,575.0,100.0
98103,1,1.0,1.0,1.0,40.0,93.0
98103,2,1.0,1.0,1.0,139.0,92.0
98103,4,1.0,1.0,2.0,70.0,95.0
98103,4,1.0,1.0,1.0,85.0,94.0
98103,2,1.5,1.0,1.0,70.0,97.0
98105,6,1.0,2.0,4.0,166.0,90.0
98103,4,1.0,1.0,2.0,99.0,97.0
98103,2,1.0,1.0,1.0,110.0,92.0
98103,4,1.0,1.0,2.0,100.0,97.0
98103,7,1.0,3.0,4.0,250.0,88.0
98103,4,1.0,1.0,2.0,150.0,90.0
98105,5,1.0,1.0,2.0,200.0,100.0
98103,2,1.0,1.0,1.0,95.0,80.0
98103,1,1.0,1.0,1.0,40.0,84.0
98103,4,1.0,2.0,2.0,215.0,92.0
98103,2,1.0,1.0,1.0,110.0,97.0
98105,5,1.0,3.0,3.0,249.0,80.0
98103,8,2.0,3.0,3.0,295.0,97.0
98103,2,1.0,1.0,1.0,90.0,93.0
98103,2,1.0,0.0,1.0,85.0,88.0
98103,1,1.0,1.0,1.0,40.0,80.0
98103,2,1.5,1.0,1.0,40.0,96.0
98103,8,2.0,4.0,4.0,245.0,100.0
